narrative_number,complaint_id,product_group,classification,confidence,delegative_score,evaluative_score,primary_evidence,secondary_signals,conf_bin
11,2168233,mortgage,UNCLASSIFIABLE,0.95,0.2,0.1,The complaint consists of fragmented questions and phrases without coherent narrative structure or clear emotional content.,"References to identity theft and unauthorized cross-selling suggest potential delegative concerns, but the disjointed format prevents meaningful assessment of the consumer's stance or emotional register.",high
12,6278914,mortgage,EVALUATIVE,0.72,0.35,0.75,"The complaint focuses on a modification that increased payments from $2200 to $2600 (17% increase) when the purpose was to lower payments, and frustration that promised legal advocacy services failed to file documents or communicate with the servicer.",Legal language about predatory lending and regulatory violations suggests evaluative framework of contractual/regulatory compliance failures rather than relational betrayal.,low
13,7872772,credit_card,EVALUATIVE,0.75,0.25,0.8,"The complaint focuses on broken processes: failure to provide promised confirmation letters, inaccurate statements, missing notations on accounts, and unfulfilled callbacks—all framing the institution as failing to execute agreed-upon procedures.","The mention of 'consumer rights were violated' and being threatened by representatives adds some moral dimension, but the overall structure is a detailed chronicle of service failures rather than relationship betrayal.",medium
14,5019165,mortgage,EVALUATIVE,0.72,0.35,0.75,The complaint focuses on process failures: PHH sent acknowledgment notices but the loan counselor says they haven't received the information and shows incorrect records of refusal.,"The 'predatory lending' language suggests moral violation, but it's used as a general label rather than describing specific betrayal of a delegated relationship.",low
15,4669725,credit_card,EVALUATIVE,0.72,0.3,0.75,"The complaint focuses on the card being locked due to a returned payment that was an additional payment (not the minimum), the company's refusal to unlock despite subsequent payments, and harsh rules/penalties being applied immediately.","The consumer mentions being 'XXXX against' (possibly 'discriminated against') for filing a complaint, which hints at relationship violation, but the dominant frame remains procedural unfairness and service failures.",low
16,3967343,mortgage,DELEGATIVE,0.75,0.75,0.35,"The complaint centers on vulnerability ('my wife passed away and Covid I fell behind'), reliance on the institution's guidance through a difficult process, and fear of abandonment ('worried I will loose my home please help').",The phrase 'they wont take my payment' and inability to reach help ('cant get to a live person') suggests the institution has withdrawn from the relationship when the consumer needed support most.,medium
17,11427908,credit_card,EVALUATIVE,0.85,0.2,0.85,"The complaint focuses on system failures (payment system not working), incorrect charges, excessive late fees on a small balance, lack of autopay functionality, and broken promises about fee waivers—all framed as functional and service delivery problems.","The term 'predatory' appears twice, but is used to describe business practices and system design rather than betrayal of a relationship; the emotional register is frustration and anger at incompetence and unfair practices.",medium
18,5270484,credit_card,EVALUATIVE,0.75,0.2,0.8,"The complaint focuses on being 'charged twice on interest' with detailed accounting of how charges are applied to the balance, asking 'How is this right? Or fair?' in terms of billing accuracy.","The language centers on incorrect charges and broken processes (double-charging) rather than betrayal or relationship violation; the fairness question relates to functional correctness, not moral breach.",medium
19,3615966,mortgage,EVALUATIVE,0.85,0.15,0.85,"The complaint focuses on repeated failure to provide a required document (payoff quote) despite 10 requests over 27 days, framing this as incompetence ('No one can help me and no one knows what's going on').",The urgency and frustration about losing the refinance opportunity reinforces this as a service delivery failure rather than relationship betrayal.,medium
20,3097447,mortgage,EVALUATIVE,0.72,0.35,0.75,"The complaint focuses on disputing incorrect loan amounts ('I DID NOT BORROW THAT AMOUNT OF MONEY'), questioning how figures were calculated, and frustration with payment increases and failed modification processes.","The reference to 'AGGRESSIVENESS AND THREATS' suggests some relational violation, but the bulk of the complaint is about verifying numbers and unmet service expectations for loan modifications.",low
21,3100978,checking_savings,EVALUATIVE,0.95,0.1,0.95,"The complaint systematically documents specific violations of the Expedited Funds Availability Act with citations to federal regulations (12 CFR 229.10, 229.13), focusing on the Bank's failure to follow legally required procedures and timelines.","Language throughout is legalistic and procedural ('failed to make available,' 'violated the federal Act,' 'does not satisfy the requirements'), treating this as a compliance failure rather than a relationship betrayal.",high
22,2236062,credit_card,UNCLASSIFIABLE,0.95,0.0,0.0,"This is a formal identity theft dispute letter following a template format, stating 'I am a victim of identity theft' and requesting specific legal remedies under FCRA and FDCPA.","The complaint contains no emotional content, no description of a relationship with the institution, and explicitly states the consumer has no relationship with the account ('this debt is not mine').",high
23,3453212,mortgage,EVALUATIVE,0.72,0.35,0.75,"The complaint focuses on process failures: the VA appraisal that 'downgrades the property,' the loan taking 'months to go through,' not receiving a welcome packet or correspondence, and being notified via text about a late payment without proper notice.","The final statement about being 'treated different' and 'disrespectful' treatment of a veteran adds some delegative language, but the bulk of the complaint details functional and communication failures.",low
24,11659701,checking_savings,EVALUATIVE,0.82,0.15,0.85,"The complaint focuses on a service failure ('my check still ain't in my account') and unmet performance expectations ('I get paid on XXXX mornings usually'), with frustration directed at the functional problem of delayed payment.",The repeated demand 'I want my money' and reference to 'bills waiting' emphasizes immediate practical consequences rather than relationship betrayal.,medium
25,7132764,credit_card,EVALUATIVE,0.85,0.15,0.85,The complaint focuses on unmet performance expectations: 'welcome offer was first confirmed then denied after I met the eligible purchases' and characterizes this as 'false and fraud advertising.',"The consumer documents multiple attempts to resolve through proper channels (online chat, phone calls) and frames the issue as a broken promise about a promotional offer, treating AMEX as a service provider that failed to deliver on advertised terms.",medium
26,6528614,mortgage,EVALUATIVE,0.92,0.1,0.95,"The complaint systematically documents a functional failure with detailed records, payment histories, and call logs, focusing on the bank's inability to correctly apply a payment and provide an itemized accounting despite repeated escalation requests.","The language is methodical and process-oriented ('escalation requests,' 'itemized answer,' 'batch numbers and transaction codes'), treating this as a service delivery problem requiring documentation and verification rather than expressing betrayal or moral violation.",high
27,5807155,checking_savings,EVALUATIVE,0.75,0.3,0.75,The complaint focuses on the functional problem of account closure without adequate explanation and the broken process of poor communication ('refuse to provide any additional information').,"The phrase 'no longer mutually beneficial' (quoted from the institution) suggests a relationship frame, but the consumer's response is frustration at lack of transparency rather than betrayal.",medium
28,14753581,credit_card,EVALUATIVE,0.72,0.25,0.75,The complaint focuses on Capital One's failure to understand the payment documentation provided and their suspension of the account based on what the consumer views as an unreasonable inquiry.,"The phrase 'This is harassment' suggests some moral indignation, but the core complaint remains about a procedural failure and questioning of their business practices rather than betrayal of a trusted relationship.",low
29,3083996,mortgage,EVALUATIVE,0.82,0.25,0.85,"The complaint focuses on Seterus failing to follow its own repayment plan rules, sending contradictory billing statements, and proceeding with foreclosure despite the consumer making required payments.",Language emphasizes broken processes ('refusal to comply to policy/rules set forth in its own plans') and functional failures rather than relationship betrayal.,medium
30,3635108,credit_card,EVALUATIVE,0.82,0.15,0.85,"The complaint focuses on a disputed charge that wasn't resolved, poor customer service (being put on hold and disconnected), and frustration with broken processes across multiple contact attempts.","The consumer's demand is transactional ('refund the annual fee and close the account') rather than expressing betrayal, and the tone is frustrated incompetence rather than moral violation.",medium
31,2904388,mortgage,DELEGATIVE,0.82,0.82,0.45,"The consumer explicitly states 'They are taking advantage of people that suffered through a natural disaster' and describes following 'all of their requests without fail' only to have their good credit 'literally destroyed,' reflecting betrayal of reliance during vulnerability.","Language of 'playing a game,' 'stalling,' and 'misdeeds' suggests moral violation rather than mere incompetence; the consumer emphasizes their perfect compliance and disaster victim status as basis for expecting different treatment.",medium
32,5860314,checking_savings,UNCLASSIFIABLE,0.95,0.0,0.0,This is an identity theft report where someone fraudulently attempted to open an account in the consumer's name without their knowledge or consent.,The consumer had no pre-existing relationship with Chime and is reporting criminal activity rather than expressing trust failure in a relationship.,high
33,5613912,credit_card,UNCLASSIFIABLE,0.95,0.0,0.1,"The complaint is a straightforward identity theft report where someone fraudulently opened a credit card in the consumer's name, with no indication of a prior relationship with Best Buy.","The consumer is taking procedural steps (calling, monitoring credit) without expressing betrayal or service failure emotions toward the institution.",high
34,3640736,mortgage,EVALUATIVE,0.72,0.25,0.75,The complaint focuses on the inadequacy of the forbearance program structure ('ONLY offering the mandated forbearance for 3 months with a balloon payment') and questions how the program could functionally work ('I don't understand how anyone could afford to pay thousands').,"The phrase 'it really isn't fair' and reference to mortgage companies finding a way around mandates suggests some moral dimension, but the dominant frame is about program design failure rather than relationship betrayal.",low
35,2710085,credit_card,EVALUATIVE,0.72,0.25,0.75,The complaint focuses on procedural issues: Citibank required a specific form for SSA verification and would not accept an authorized user's request to close the account.,"The mention of being a customer since XXXX suggests relationship history, but the complaint centers on unmet process expectations rather than betrayal.",low
36,4005689,mortgage,DELEGATIVE,0.85,0.85,0.35,"The complaint centers on alleged fraudulent documentation and betrayal of trust as 'CURRENT CUSTOMERS,' with language like 'extremely disappointed that they would attempt to state we requested a withdraw' and 'fraudulent practices' suggesting moral violation rather than mere service failure.","The emotional register includes 'extremely disturbing,' 'unacceptable,' and 'significant distress,' with emphasis on the relationship ('current customers') and expectation of loyalty ('curtesy of a phone call'), indicating betrayal of a fiduciary relationship.",medium
37,7236336,checking_savings,UNCLASSIFIABLE,0.7,0.1,0.3,"The complaint is too brief and unclear to assess the nature of the trust failure, lacking specific details about what occurred or the relationship context.","The repeated demand 'I want my money' suggests a performance failure, but without context about what service was promised or what relationship existed, the trust mode cannot be determined.",low
38,7241493,checking_savings,EVALUATIVE,0.72,0.25,0.75,"The complaint focuses on the bank's process failure ('they ran my credit', 'why am I denied') and questions the functional logic of denying a deposit account based on credit score.","The phrase 'this is how big corporations work' suggests some systemic critique, but the core grievance is about an incorrect or unfair process rather than betrayal of a relationship.",low
39,2723943,checking_savings,EVALUATIVE,0.75,0.3,0.8,"The complaint focuses on unauthorized charges, fraudulent bookkeeping practices, and service problems like being charged for copies that were initially promised free.","The threat by the branch manager to file a counter-complaint adds an adversarial element, but the core complaint remains about functional failures and incorrect charges rather than betrayal of a fiduciary relationship.",medium
40,5583783,mortgage,DELEGATIVE,0.92,0.9,0.25,"The consumer explicitly states 'she gained my trust and I believed her' and describes being manipulated at 'my lowest point in my life,' framing this as betrayal through 'Gaslighting' that hurt them 'financially and mentally.'","Language of 'mistrust,' employees who 'lie, steal and cheat,' moral contrast between 'Honesty and Trust' versus 'greed,' and emphasis on relationship violation rather than mere service failure.",high
41,4260816,checking_savings,UNCLASSIFIABLE,0.95,0.0,0.0,"Consumer explicitly states 'I do not have an account with citizens bank,' indicating this is a report of a phishing scam rather than a complaint about a relationship with the institution.","The complaint is reporting fraudulent activity by third parties using the bank's name, not complaining about the bank's conduct toward the consumer.",high
42,17900042,checking_savings,EVALUATIVE,0.85,0.15,0.85,"The complaint focuses on SoFi's failure to comply with Regulation E requirements for provisional credit, citing specific regulatory violations (12 CFR 1005.11) and procedural failures in dispute resolution.","The language is legalistic and procedural ('formal demand letters,' 'case numbers,' regulatory citations), treating this as a service delivery failure rather than relationship betrayal.",medium
43,1974801,mortgage,DELEGATIVE,0.85,0.85,0.35,"The complaint repeatedly frames Chase's actions as deliberate betrayal and abuse of power, using language like 'predator loan,' 'fraud,' 'XXXX me into foreclosure,' 'ignored or destroyed' documents, and expressing moral outrage at being 'subject to this XXXX fraud attempt.'","The consumer emphasizes their vulnerable position (SSI and food stamps income), expresses outrage at violation of consumer rights, and frames Chase as deliberately using coercive tactics to 'take my home' despite owing the consumer money.",medium
44,15948787,credit_card,EVALUATIVE,0.72,0.15,0.75,"The complaint focuses on incorrect reporting dates and discrepancies between expected balance and reported amount, treating these as verification failures that need correction.","The fraud allegation appears to stem from data inconsistencies rather than relational betrayal, and the tone is matter-of-fact problem-reporting.",low
45,5065894,mortgage,EVALUATIVE,0.72,0.15,0.75,"The complaint focuses on broken processes and service failures: no record of time-sensitive letter, no address provided, inability to discuss terms, unavailable supervisors.","The fragmented, frustrated tone and emphasis on procedural breakdowns (can't escalate, management unavailable) reinforce service delivery failure rather than relationship betrayal.",low
46,4104902,mortgage,EVALUATIVE,0.92,0.15,0.95,"The complaint systematically documents Citizens One's failure to properly process payments, update account records, and correct billing errors despite multiple contacts—focusing on 'failed to properly update,' 'did not post correctly,' 'issues with my account were not resolved.'","The consumer's frustration centers on incompetence and broken processes ('he receives calls like mine every year,' 'why Citizens One had not made updates to their system'), treating this as a service delivery failure rather than relationship betrayal.",high
47,18397481,credit_card,EVALUATIVE,0.92,0.15,0.92,"The complaint focuses on unmet performance expectations regarding claim processing: 'it has remained pending for an unreasonable length of time without a decision, explanation, or request for additional documentation' and demands the institution 'promptly adjudicate the claim' according to stated policy terms.","The detailed, legalistic recitation of policy terms, eligibility criteria, and documentation requirements frames this as a contractual service failure rather than a relationship betrayal; the tone is formal frustration at administrative incompetence.",high
48,3122004,mortgage,EVALUATIVE,0.72,0.25,0.75,"The complaint focuses on procedural violations and legal misconduct: 'fraudulent document which consisted of a mortgage note that was falsified,' 'dual-tracking while a loan modification was in progress,' and improper service of papers.","The language 'totally corrupt' and demand that the attorney 'lose his license' shows anger, but the complaint is structured around specific legal/procedural failures rather than relationship betrayal.",low
49,1923767,checking_savings,EVALUATIVE,0.72,0.35,0.75,The consumer focuses on the bank's failure to act ('the bank said there was nothing they could do') and describes them as 'taking a passive attitude towards my plight' - framing this as inadequate service response to fraud.,"The phrase 'the Bank doesn't care' suggests some relational disappointment, but the overall complaint centers on the bank's failure to resolve the fraud and protect the account.",low
50,3276212,mortgage,EVALUATIVE,0.85,0.15,0.85,"The complaint focuses on functional problems with the transfer process: automated system not recognizing loan information, inability to register online, excessive hold times, and the inconvenience of changing payment methods.","The final sentence about loan forgiveness is sarcastic frustration rather than genuine moral outrage; the framing is about wasted time and broken processes, not betrayal.",medium
51,5233520,mortgage,DELEGATIVE,0.72,0.75,0.35,The consumer explicitly references 'MY FIDUCIARY RELATIONSHIP WITH THE BANK' and frames the refusal to accept partial payment as abandonment 'DESPITE MY EFFORT' to 'SAVE AND KEEP MY PROPERTY FOR ME AND MY FAMILY.',"The plea 'PLEASE HELP' and emphasis on family vulnerability, combined with the sense that the institution is refusing to work with them despite their relationship, reinforces delegative trust failure.",low
52,7487805,mortgage,EVALUATIVE,0.75,0.25,0.75,The complaint focuses on incorrect charges and calculation errors: 'Why is Bank of America secretly taking out $95.00 per month on a closed escrow account' and questioning whether 'they're calculating the principle and interest correctly.',"The word 'secretly' suggests some suspicion of intentional wrongdoing, but the overall framing remains about billing errors and verification of what should be charged rather than betrayal of a relationship.",medium
53,7622311,mortgage,UNCLASSIFIABLE,0.95,0.0,0.0,"This is a straightforward administrative request for loan disbursement documentation needed for a Medicaid application, with no language indicating unmet expectations or betrayal.","The complaint is purely transactional, focused on obtaining records rather than expressing dissatisfaction with service quality or relationship violation.",high
54,9163186,checking_savings,DELEGATIVE,0.82,0.82,0.25,"The consumer emphasizes the vulnerability of their position ('only bank account,' 'only funds available,' 'no other funds to sustain myself') and describes trying to 'reason with them' after an abrupt relationship termination without explanation.","The language 'Chase had decided to end the relationship' frames this as a relational rupture rather than a service failure, and the consumer's emphasis on being left without resources suggests betrayal of a dependency relationship.",medium
55,7493712,mortgage,DELEGATIVE,0.75,0.75,0.45,"The consumer states 'I feel like I am been pushed around' and emphasizes being a senior citizen who is 'not tech savy' and had to add their son to help, suggesting vulnerability and a sense of being taken advantage of in a relationship where they relied on the institution.","The complaint emphasizes never missing payments and being a 'XXXX citizen' (likely senior), establishing a loyal relationship history that makes the treatment feel like betrayal rather than mere incompetence.",medium
56,3988326,credit_card,EVALUATIVE,0.75,0.25,0.8,"The complaint focuses on sudden account closure without warning, forfeited rewards, and disrupted promotional financing programs—all framing the bank's actions as service failures and broken processes.","The detailed recitation of facts (credit limit increases, timing, specific programs affected) and focus on what was owed/promised suggests performance expectations rather than relationship betrayal.",medium
57,1781283,mortgage,EVALUATIVE,0.82,0.25,0.85,"The complaint focuses on repeated document requests, expired applications without resolution, and a representative who 'refused' to transfer to a supervisor and 'didn't have time'—all framing this as service delivery failures and process breakdowns.","The phrase 'I am begging for help' and personal vulnerability details suggest emotional distress, but the core grievance remains about bureaucratic incompetence rather than relationship betrayal.",medium
58,18961474,checking_savings,EVALUATIVE,0.72,0.25,0.75,"The complaint focuses on procedural failures: inability to access account to print documentation, lack of follow-up communication on fraud activity, and being locked out while needing to provide required documents.","The phrase 'treated me XXXX' suggests emotional distress, but the dominant frame is about broken processes and communication failures rather than relationship betrayal.",low
59,1413110,checking_savings,EVALUATIVE,0.75,0.3,0.8,"The complaint focuses on repeated service failures: incorrect low balance charges despite meeting requirements, failure to process account closure properly, failure to transfer funds as instructed, and bureaucratic obstacles to receiving their money.","The final phrase 'thieving institution' and words like 'unfair, unethical, and illegal' suggest moral outrage, but this appears to be frustration-driven escalation rather than betrayal of a fiduciary relationship.",medium
60,14376219,credit_card,EVALUATIVE,0.92,0.15,0.92,"The complaint focuses on an incorrect balance transfer not being credited despite multiple calls and promises, with frustration about transfers, wait times, and failure to resolve a specific billing error.","The systematic documentation of call attempts, dates, and representative names reflects a consumer treating this as a service delivery failure requiring verification and correction.",high
61,6662616,checking_savings,UNCLASSIFIABLE,0.95,0.1,0.1,"The complaint is a stream-of-consciousness narrative mixing fraud victimization, identity issues, family financial matters, and demands for settlement, with no clear financial institution relationship or service failure described.","The complaint lacks coherent structure, mixes multiple unrelated grievances, and does not identify a specific financial institution's action or inaction as the primary issue.",high
62,4901463,credit_card,EVALUATIVE,0.72,0.15,0.75,"The complaint focuses on being denied credit despite being told they had 'an excellent chance' and having paid all debts, framing this as an inappropriate denial that affected their credit score.","Language emphasizes unmet expectations ('informed me I do an excellent chance'), broken process, and functional failure rather than relationship betrayal.",low
63,15605118,checking_savings,UNCLASSIFIABLE,0.95,0.0,0.0,"This text appears to be a response FROM a financial institution TO a consumer, not a consumer complaint.","The language uses institutional voice ('our system,' 'we declined,' 'we can't override') explaining a decision rather than complaining about one.",high
64,10586999,checking_savings,EVALUATIVE,0.85,0.15,0.85,The complaint focuses on a functional failure where the ATM did not credit deposits correctly and the bank 'could not locate my money in the ATM' despite submitted proof—this is framed as a verification and process failure.,Language like 'running after my money' and 'money which rightfully belongs to me' emphasizes the transactional dispute rather than relationship betrayal; the consumer seeks recovery of funds through proper channels including police.,medium
65,4575713,checking_savings,UNCLASSIFIABLE,0.95,0.0,0.0,"The consumer reports receiving an unrequested debit card and suspects identity theft, with no prior relationship with the institution.",The complaint is purely a factual report of potential fraud with no emotional content or trust language directed at the institution.,high
66,6289994,credit_card,EVALUATIVE,0.75,0.25,0.85,"The complaint focuses on PayPal's failure to properly handle unauthorized transactions, process disputes correctly, and provide adequate customer service—all performance and procedural failures.","The frustration with 'one of the rudest people' and poor service quality reinforces evaluative mode, though 'my hard own money' shows some personal investment.",medium
67,3197294,checking_savings,EVALUATIVE,0.82,0.15,0.85,"The complaint focuses on a functional failure: the bank told the consumer the transaction was declined, but the money was withdrawn anyway, and then the bank reversed its correction without explanation.","The consumer's frustration centers on broken processes (fraud alert system failure, incorrect account handling) rather than relationship betrayal.",medium
68,5903373,credit_card,EVALUATIVE,0.75,0.3,0.8,"The complaint focuses on procedural failures: agents providing incorrect information about refund timing, opening unauthorized fraud reports, supervisors denying promises and hanging up, and failure to return calls.","The phrase 'fake fraud reports' and frustration with broken processes dominate; while there's anger at being talked over and hung up on, the stance is 'you failed to perform correctly' rather than 'you betrayed my trust.'",medium
69,7163084,checking_savings,DELEGATIVE,0.72,0.75,0.35,"The complaint centers on identity violation ('my right to know about anything with my identity attached to it is Violated') and being given 'misleading information to keep me from knowing,' suggesting betrayal of trust rather than mere service failure.","Language of desperation ('I was desperate to open an account'), being denied access to their own funds, and the sense of being deliberately kept in the dark about their own accounts suggests relational betrayal.",low
70,5922211,credit_card,EVALUATIVE,0.72,0.15,0.75,"The complaint focuses on being charged again without explanation after a previous resolution, treating this as a functional failure requiring correction.",The threat of legal action suggests frustration with process failure rather than relationship betrayal; the tone is demanding resolution of a service problem.,low
71,3181099,credit_card,EVALUATIVE,0.75,0.25,0.85,"The complaint focuses on systemic dysfunction—'they will not allow me to pay,' 'account is somewhere in limbo,' 'I keep hitting a wall'—framing this as a broken process preventing her from fulfilling obligations.",The phrase 'it is unfair' and emphasis on 'desperately trying' and 'every attempt' suggest frustration with institutional incompetence rather than betrayal of a relationship.,medium
72,8239915,checking_savings,EVALUATIVE,0.82,0.25,0.85,"The complaint focuses on Chase's failure to properly investigate and verify the fraud claim despite clear evidence, with language centered on 'lack of evidence,' 'claim was not found to be in my favor,' and frustration that they 'overlooked this evidence I provided.'",The consumer provides detailed documentation of their investigative efforts and emphasizes the functional failure of Chase's dispute resolution process rather than expressing betrayal of a relationship.,medium
73,11673824,checking_savings,EVALUATIVE,0.65,0.15,0.7,The complaint focuses on a functional problem—inability to open a new account due to a past account status—framing this as a service barrier preventing them from achieving a practical goal (getting paid).,The matter-of-fact tone and focus on resolving a concrete obstacle (needing an account for payment) rather than expressing betrayal or relationship violation supports evaluative framing.,low
74,15130543,checking_savings,UNCLASSIFIABLE,0.95,0.0,0.0,"The complaint consists entirely of a detailed list of information requests about account transfers and transactions with no emotional content, narrative context, or indication of trust failure.",The format resembles a discovery request or records demand rather than a complaint expressing dissatisfaction or betrayal.,high
75,2263674,credit_card,EVALUATIVE,0.72,0.35,0.75,"The complaint focuses on a bank employee who 'never did anything about it,' 'dropped contact,' and 'just disappeared' after requesting information—describing failures to perform promised fraud resolution services.","The phrase 'she just disappeared' carries some emotional weight suggesting abandonment, but the overall framing is about unmet service obligations rather than relationship betrayal.",low
76,11619867,checking_savings,EVALUATIVE,0.72,0.15,0.75,The complaint focuses on a functional failure: funds were not recovered after a disputed transaction and were given to an unauthorized merchant.,Language centers on process failure ('funds was never recovered') and incorrect transaction processing rather than relationship betrayal.,low
77,15922607,credit_card,DELEGATIVE,0.82,0.82,0.35,"The consumer repeatedly trusted Bank of America representatives' assurances ('assured me,' 'he swore') to fix the problem, only to be betrayed when the charges continued, culminating in 'They are simply refusing to stop these charges' and abandoning the relationship entirely.","The progression from trusting compliance with instructions to realizing the institution has agreements that undermine customer protection reflects betrayal of fiduciary expectations, not just service failure.",medium
78,7240922,mortgage,EVALUATIVE,0.72,0.25,0.75,"The complaint focuses on procedural irregularities (closing 6 complaints simultaneously, inability to view scanned documents, contradictory timelines) and questions the legitimacy of the process.",The consumer's stance is investigative and procedural ('How is it they are all closed yet we are still receiving notifications?') rather than expressing betrayal or relationship violation.,low
79,2266282,credit_card,EVALUATIVE,0.72,0.25,0.75,"The complaint focuses on unmet expectations based on objective qualifications (credit score, income, payment history) with the stance 'I met all the criteria, so you should have approved me.'",The discrimination allegation is framed as a process failure explanation rather than relationship betrayal; the tone is frustrated incomprehension at a decision that doesn't match stated criteria.,low
80,6502919,checking_savings,UNCLASSIFIABLE,0.7,0.1,0.3,"The complaint is fragmented and unclear, mixing identity theft claims, unauthorized transactions, fraud claim denial, and unrelated housing issues without coherent narrative structure.","The phrase 'denied the claim' suggests evaluative frustration with process failure, but the overall incoherence and lack of clear emotional register prevents confident classification.",low
81,7006718,checking_savings,DELEGATIVE,0.72,0.75,0.45,"The complaint alleges racial bias and discrimination ('seems as if I am being racially and biased against'), suggesting betrayal of a relationship where the consumer expected fair treatment as a long-term customer and veteran.","The phrase 'I've been banking with Wells Fargo' establishes an ongoing relationship, and the veteran status mention suggests reliance on the institution to honor that identity; the overdraft protection failure adds evaluative elements but is secondary to the discrimination claim.",low
82,2905452,credit_card,UNCLASSIFIABLE,0.95,0.0,0.0,"The complaint is a political statement about banks, government, gun laws, and discrimination without describing any specific transaction, service failure, or relationship with a financial institution.","No personal financial issue, account problem, or interaction with an institution is described; this appears to be general political commentary rather than a consumer complaint.",high
83,3688454,checking_savings,EVALUATIVE,0.82,0.15,0.85,"The complaint focuses on functional failures: inability to log in, account suspended 'for no apparent reason,' no notification email sent, and inability to access funds.",The demand 'Please give me my money' and statement 'I will be done with this business' reflect transactional frustration rather than relationship betrayal.,medium
84,6761328,mortgage,EVALUATIVE,0.72,0.35,0.75,"The complaint focuses on repeated denials of loan modifications, inability to reach the right person, and failure to stop foreclosure despite submitting required documentation.","The phrase 'anything to help us keep our home' and mention of financial crisis suggest vulnerability, but the language remains focused on process failures rather than betrayal.",low
85,13183598,mortgage,EVALUATIVE,0.85,0.2,0.85,"The complaint focuses on broken processes and service failures: being transferred repeatedly, no one knowing where the check is, tickets not being followed up, and being hung up on after 8+ hours on the phone.","The language is frustrated and focused on functional incompetence ('no one seemed to know,' 'tossed around,' 'not any further than I was last week') rather than betrayal or relationship violation.",medium
86,2737980,checking_savings,EVALUATIVE,0.92,0.15,0.95,"The complaint systematically documents process failures: 'USAA does not have an effective process,' agents 'unable to communicate the nature of the error,' and multiple failed attempts to resolve a documentation issue.","The language is methodical and procedural, focusing on system inadequacy rather than relationship betrayal; the phrase 'after much frustration' indicates dissatisfaction with service quality, not moral violation.",high
