complaint_id,product_group,classification,confidence,delegative_score,evaluative_score,primary_evidence,secondary_signals
1894794,mortgage,EVALUATIVE,0.85,0.3,0.9,"The complaint focuses on unmet performance expectations and verification failures, specifically that CitiMortgage is pursuing debt collection despite a finalized deed in lieu settlement.","The language emphasizes an error or oversight by CitiMortgage, indicating frustration with their incompetence."
2947552,mortgage,EVALUATIVE,0.85,0.3,0.8,TD bank posted late fee on my account despite mailing payment in on time.,The complaint focuses on unmet performance expectations and poor service quality.
7331626,mortgage,EVALUATIVE,0.8,0.2,0.8,US Bank would not accept my Trust without explanation and stated I would have to draft another Trust.,The complaint focuses on unmet performance expectations and a failure to perform as advertised.
11059095,mortgage,PARSE_ERROR,,,,,max retries exceeded
17301295,mortgage,EVALUATIVE,0.8,0.4,0.8,"The complaint focuses on unmet performance expectations and functional problems, such as improper handling of loss mitigation and dual tracking.","The complaint mentions unreasonable demands and violations of federal servicing rules, indicating frustration with service quality."
1552312,mortgage,DELEGATIVE,0.85,0.85,0.4,"The complaint reflects a sense of betrayal and abuse of trust, particularly in the statement 'They knew what they did was wrong, and they intimidated us to win.'","The consumer expresses feeling 'backed into a corner' and 'intimidated,' indicating a violation of good faith and trust."
1434776,mortgage,EVALUATIVE,0.8,0.3,0.8,"The complaint focuses on SPS making burdensome and duplicative requests for documents, which is seen as a failure to act diligently.","The complaint mentions a violation of SPS's responsibility to act diligently, indicating unmet performance expectations."
1856542,mortgage,DELEGATIVE,0.8,0.8,0.5,"The complaint describes 'unsuitable + predatory' loans and a sense of betrayal by JPM, indicating a violation of good faith and abuse of the relationship.","The complaint mentions 'outrageously insufficient' offers and 'insulting token offer,' which also suggest unmet expectations, but the focus is on the moral outrage and betrayal."
3584958,mortgage,EVALUATIVE,0.7,0.3,0.7,I have contacted Shellpoint by phone... and via the online portal... I was told I would be contacted back and have not been.,The complaint focuses on unmet promises and poor service quality in terms of communication and response.
1419703,mortgage,DELEGATIVE,0.8,0.8,0.4,GreenTree is clearly committing fraud.,The complaint suggests a violation of good faith by countering above appraised value despite offers meeting or exceeding it.
2685644,mortgage,EVALUATIVE,0.85,0.3,0.9,Shellpoint was negligent in not reviewing the time on the 1st extension and grossly negligent in not even contacting 3rd party to discuss prior to denial of short sale extension request.,"The complaint focuses on unmet performance expectations and functional problems, such as not reviewing the extension properly."
4421080,mortgage,EVALUATIVE,0.85,0.3,0.85,"The complaint focuses on unmet performance expectations and poor service quality, such as 'opaque in its communication' and 'rude non-answers'.",The complaint details a failure to perform as advertised with delays and unmet promises.
2940766,mortgage,UNCLASSIFIABLE,0.6,0.3,0.4,The complaint is primarily about a factual dispute regarding responsibility for payments after a divorce.,The complaint lacks clear emotional content or language indicating a specific trust failure mode.
8291111,mortgage,EVALUATIVE,0.7,0.3,0.7,"The complaint focuses on unmet performance expectations, such as the invalid email address and the blurred check images.",The mention of different people handling the account and poor communication suggests frustration with service quality.
5191088,mortgage,EVALUATIVE,0.8,0.3,0.8,"The complaint focuses on unmet performance expectations and illegal charges, as the company took money before confirming the mortgage modification.",The consumer expresses frustration over lack of communication and demands accountability for financial penalties.
2021388,mortgage,DELEGATIVE,0.8,0.8,0.4,"The complaint reflects a sense of betrayal and abuse of the relationship, particularly with the seller being an attorney and the consumer feeling trapped by the seller's actions.","The consumer expresses moral outrage at the seller's refusal to allow the sale due to tax reasons, and the expectation that buyers remain under contract for 30 years."
1486784,mortgage,DELEGATIVE,0.85,0.85,0.4,"The complaint reflects a sense of betrayal and abuse of the relationship, particularly with phrases like 'Ocwen has carefully snuffed out all means of contact and all means of proving fraud and robo signing.'","The consumer expresses moral outrage and a sense of personal violation, especially in the context of being misled about foreclosure proceedings."
3884183,mortgage,UNCLASSIFIABLE,0.4,0.3,0.3,"The complaint mixes concerns about credit reporting, potential hacking, and confusion over addresses without a clear focus on trust failure.",The mention of bankruptcy and multiple lenders suggests complexity but not a clear trust mode.
4064711,mortgage,EVALUATIVE,0.85,0.3,0.9,"The complaint focuses on unmet performance expectations and poor service quality, such as losing the application and requiring multiple submissions.","The language used includes terms like 'unacceptable, fraudulent, irresponsible, frustrating,' indicating dissatisfaction with service quality."
2107357,mortgage,DELEGATIVE,0.85,0.85,0.6,"The complaint describes a sense of betrayal and predatory practices, particularly in the statement 'I believe this is a predatory loan practice on the part of Citibank.'","The consumer expresses moral outrage and concern for others who might have been misled, indicating a sense of violation of trust."
3041788,mortgage,EVALUATIVE,0.85,0.3,0.9,The complaint focuses on the mortgage company's failure to credit payments and communicate the results of their investigation.,The consumer expresses frustration with the company's internal controls and lack of communication.
3386227,mortgage,EVALUATIVE,0.8,0.3,0.8,The complaint focuses on the mortgage company not cashing the check and not responding to emails.,"The consumer expresses worry about the consequences, indicating frustration with service quality."
10642226,mortgage,DELEGATIVE,0.85,0.85,0.4,"The complaint describes 'abuse of my rights, as a mortgage customer' and 'violation of contract,' indicating a sense of betrayal and abuse of the fiduciary relationship.","The consumer expresses moral outrage at being forced to pay 'deceitful, and bogus fees' and the threat of foreclosure, which suggests a deep sense of personal violation."
3304219,mortgage,EVALUATIVE,0.85,0.2,0.9,The complaint focuses on unmet performance expectations and a failure to deliver the promised mortgage rate.,The consumer expresses frustration over the refusal to refund the appraisal fee after the mortgage was rejected.
13357175,mortgage,UNCLASSIFIABLE,0.6,0.5,0.5,The complaint mixes issues of incorrect documentation and potential fraud without a clear focus on either evaluative or delegative trust failure.,"The mention of fraud and incorrect documentation suggests both unmet expectations and potential betrayal, but neither is dominant."
1706832,mortgage,EVALUATIVE,0.85,0.3,0.9,The complaint focuses on unmet performance expectations regarding the removal of PMI based on appraisal results.,The consumer expresses frustration with incorrect information and additional demands from Wells Fargo.
19105245,mortgage,EVALUATIVE,0.85,0.3,0.9,"The complaint focuses on unmet performance expectations and functional problems, such as the servicer's failure to process an authorized ACH auto-draft payment due to an internal system error.",The consumer expresses frustration over incorrect charges and the servicer's failure to provide requested documentation.
6207801,mortgage,EVALUATIVE,0.85,0.3,0.9,"The complaint focuses on unmet performance expectations and poor service quality, such as the failure to reissue the check and delays in communication.",The consumer expresses frustration with the incompetence and inefficiency of the mortgage company's processes.
1616628,mortgage,EVALUATIVE,0.8,0.4,0.8,"The complaint focuses on unmet performance expectations, such as delays, lost paperwork, and poor communication.",The consumer expresses frustration with the process and the incompetence of the service managers.
3149341,mortgage,UNCLASSIFIABLE,0.6,0.4,0.3,The complaint is a plea for assistance without clear language of betrayal or unmet expectations.,"The consumer mentions personal hardship and a desire to work with the institution, but does not specify a failure."
1946489,mortgage,DELEGATIVE,0.85,0.85,0.4,"The complaint reflects a sense of betrayal and abuse of the relationship, particularly in the way the institution handled the consumer's financial difficulties and the aggressive tactics used.",The emotional tone of the complaint suggests a personal violation and grief over losing the house.
3008093,mortgage,EVALUATIVE,0.7,0.4,0.7,Wells Fargo informed us that they had placed a Military Deferment on our Mortgage and that the payment amount during the deferment is {$0.00} and any money received on the account would go 100 % towards principle.,"The complaint details a series of unmet expectations and procedural failures, such as the rejection of payments and the mishandling of deferment and modification processes."
8095587,mortgage,DELEGATIVE,0.9,0.9,0.4,"The complaint describes SLS using tactics to 'steal my home' and 'tricked me by changing my MIR,' indicating a sense of betrayal and abuse of trust.","The consumer expresses moral outrage and a sense of personal violation, particularly in the description of being 'humiliated and embarrassed' and 'retaliated against.'"
4940627,mortgage,DELEGATIVE,0.8,0.8,0.4,SPS has engaged in a multitude of fraudulent documents without having any rights or enforcement.,The complaint expresses moral outrage and accuses SPS of being 'one of the biggest fraudulent financial predators out there.'
1892189,mortgage,DELEGATIVE,0.8,0.8,0.4,"The complaint reflects a sense of betrayal and abandonment by the financial institution, particularly when the loan was transferred to a debt collection agency despite the consumer's efforts to comply with modification processes.","The consumer expresses confusion and a sense of being taken by surprise, indicating a reliance on the institution's guidance and a feeling of being let down."
5529698,mortgage,DELEGATIVE,0.8,0.8,0.5,My fear is that Shellpoint is trying to force me into foreclosure in order to take my property.,"The complaint expresses a sense of betrayal and abuse of the relationship, particularly in the context of being a senior on a fixed income."
8575310,mortgage,EVALUATIVE,0.8,0.3,0.8,"The complaint focuses on unmet performance expectations and poor service quality, such as not providing necessary documentation and mishandling the hardship process.","The consumer expresses frustration with the process and the impact on their credit, indicating dissatisfaction with service delivery."
2997010,mortgage,EVALUATIVE,0.8,0.3,0.8,The complaint focuses on incorrect charges and refusal to adjust payments despite having enough funds in escrow.,The language reflects frustration with the institution's failure to perform as expected.
18543463,mortgage,EVALUATIVE,0.7,0.4,0.7,They refused to speak to us since we were in an active bankruptcy and turned off the payment portal so we could not make payments.,The complaint focuses on the inability to make payments due to the company's actions and the expectation that payments should not have resumed during forbearance.
4439979,mortgage,EVALUATIVE,0.85,0.3,0.9,The complaint focuses on incorrect paperwork and unmet promises regarding the closing disclosure and cash at closing.,The consumer expresses frustration with the notary's incompetence and the failure to perform as agreed.
5269055,mortgage,EVALUATIVE,0.8,0.3,0.8,"The complaint focuses on unmet performance expectations and poor service quality, such as the repeated requests for documents and the inability to provide clear guidance.",The consumer expresses frustration and dissatisfaction with the process and the perceived incompetence of the service provider.
5555889,mortgage,EVALUATIVE,0.85,0.3,0.9,"The complaint focuses on unmet performance expectations and poor service quality, such as the forced insurance policy and failure to resolve the issue despite reassurances.",The consumer expresses frustration and dissatisfaction with the company's failure to perform as promised.
12624818,mortgage,EVALUATIVE,0.8,0.2,0.8,Communications have either been non responsive or refusing to commit to a timeline to return my escrow balance.,The complaint focuses on unmet performance expectations and poor service quality.
2041530,mortgage,EVALUATIVE,0.85,0.2,0.9,Numerous calls with promises they will take care of it and no resolution.,The complaint focuses on unmet promises and failure to perform as advertised.
7337518,mortgage,EVALUATIVE,0.9,0.2,0.9,The complaint focuses on incorrect charges and unmet performance expectations regarding the escrow account.,The consumer expresses frustration with the lender's refusal to correct the issue despite attempts to resolve it.
1441443,mortgage,EVALUATIVE,0.8,0.4,0.8,"The complaint focuses on Nationstar Mortgage's arbitrary rules and incorrect charges related to flood insurance, indicating unmet performance expectations.",The consumer expresses frustration with the process and mentions a similar past experience with another company.
9824513,mortgage,UNCLASSIFIABLE,0.6,0.4,0.5,"The complaint involves a third party contacting Wells Fargo without the consumer's consent, but it is unclear if this reflects a trust failure or a procedural issue.","The complaint mixes elements of potential procedural failure and concerns about unauthorized access, but lacks clear emotional language indicating a specific trust mode."
3488425,mortgage,EVALUATIVE,0.9,0.2,0.9,"Horrible service, no accountability and no resolution.",The complaint focuses on unmet performance expectations and poor service quality.
1749923,mortgage,EVALUATIVE,0.8,0.4,0.8,"The complaint focuses on incorrect advice given by the closing coordinator, leading to missed payments and credit issues.",The consumer expresses frustration with the inability to contact the representatives for resolution.
3861978,mortgage,EVALUATIVE,0.8,0.4,0.8,The consumer expresses frustration with receiving different answers from each person they speak with and not being able to check their status online.,"The complaint focuses on unmet performance expectations and poor service quality, such as incorrect paperwork and lack of clear communication."
6903795,mortgage,DELEGATIVE,0.8,0.8,0.4,"The complaint reflects a sense of betrayal and violation of privacy, as the consumer did not expect ongoing access to their financial information after the mortgage process.","The consumer expresses concern about potential violations of the Gramm-Leach-Bliley Act, indicating a breach of fiduciary duty."
4925841,mortgage,EVALUATIVE,0.8,0.3,0.8,The complaint focuses on unmet performance expectations regarding the return of escrow money and deposit.,The mention of 'fraudulent business practices' suggests frustration with service quality.
2083843,mortgage,EVALUATIVE,0.85,0.2,0.9,"Wells Fargo did not make a bookkeeping entry showing a 'refund' until a later date, and the consumer has not yet received their money.",The complaint focuses on unmet performance expectations and a delay in processing a refund.
2036303,mortgage,DELEGATIVE,0.85,0.85,0.3,"The complaint describes a sense of betrayal and abuse of trust, as Ocwen allegedly used personal information fraudulently to foreclose on the home.",The mention of 'fraudulently obtained my personal and sensitive loan data' and 'wrongful foreclosure' suggests a violation of good faith and trust.
12853865,mortgage,UNCLASSIFIABLE,0.6,0.4,0.5,"The complaint describes repeated attempts to get assistance without success, but lacks clear language of either unmet performance expectations or betrayal.","The emotional tone suggests urgency and desperation, but does not clearly indicate frustration at incompetence or moral outrage at betrayal."
2833666,mortgage,EVALUATIVE,0.85,0.2,0.9,"The complaint focuses on unmet performance expectations, specifically the failure to apply a $1400.00 cash payment towards the principal as requested.","The consumer expresses frustration with the lack of response and correction from Wells Fargo, indicating dissatisfaction with service quality."
1880945,mortgage,EVALUATIVE,0.8,0.3,0.8,"The complaint focuses on unmet performance expectations, such as the incorrect appraisal report and false reasons for loan denial.","The consumer expresses frustration with the process and lack of communication, indicating dissatisfaction with service quality."
6301981,mortgage,EVALUATIVE,0.8,0.4,0.8,"The complaint focuses on unmet performance expectations, such as incorrect processing of payments and failure to resolve issues with the mortgage payoff.","The consumer expresses frustration with the incompetence and poor service quality, such as the inability to provide a tracking number and repeated escalation without resolution."
1751307,mortgage,EVALUATIVE,0.85,0.3,0.9,"The complaint focuses on the servicer raising payments and not responding to calls, indicating unmet performance expectations.",The consumer expresses frustration with the servicer's processes and lack of communication.
2791457,mortgage,DELEGATIVE,0.8,0.8,0.4,"The complaint reflects a sense of betrayal and moral outrage, particularly in the statement 'Bank of America lacks transparency and is not honest with consumers by dragging out the time and costs of a consumer trying to short sale a home.'","The consumer expresses a sense of personal violation and betrayal, mentioning 'illegal activity by non-actions' and a lack of response from the bank."
4228598,mortgage,EVALUATIVE,0.85,0.3,0.9,The complaint focuses on unmet performance expectations and misrepresentation of the refinance offer.,The consumer expresses frustration over the credit inquiry and the bait-and-switch tactic.
7130408,mortgage,EVALUATIVE,0.85,0.4,0.9,"The complaint focuses on Shellpoint's failure to process requests for PMI removal and appraisal, causing delays and unmet expectations.",The consumer expresses frustration with Shellpoint's incompetence and failure to follow through on promises.
3596008,mortgage,EVALUATIVE,0.8,0.3,0.8,The complaint focuses on incorrect charges and failure to provide verification for the back taxes paid from the escrow account.,The consumer expresses frustration with the process and the lack of response to their request for documentation.
4321406,mortgage,EVALUATIVE,0.9,0.2,0.9,Mr Cooper had failed to make any changes to reflect the fact that I did not have to pay taxes.,Repeated attempts to contact and provide proof indicate frustration with service quality and unmet performance expectations.
12318178,mortgage,EVALUATIVE,0.85,0.3,0.9,Penny Mac made the mistake and want me to pay for it.,The complaint focuses on incorrect charges and unmet performance expectations regarding escrow and tax payments.
4046931,mortgage,EVALUATIVE,0.8,0.4,0.8,"The complaint focuses on the misapplication of an EDI payment and the refusal to correct the issue, highlighting unmet performance expectations.",The complaint mentions frustration with the refusal to correct the issue and the continued accrual of late fees.
1695209,mortgage,EVALUATIVE,0.85,0.2,0.9,Ocwen FAILED to POST PAYMENTS.,The complaint focuses on incorrect charges and unmet performance expectations.
2874994,mortgage,EVALUATIVE,0.7,0.4,0.7,"The complaint focuses on unmet performance expectations, such as not receiving a response to an affidavit and mishandling of payments.",The consumer expresses frustration with the process and timing of the foreclosure and remodification.
15881910,mortgage,EVALUATIVE,0.8,0.4,0.8,"We did our part in getting the required documents submitted before the stated deadline, but someone failed to do their job & now we are still at risk of foreclosure.","The complaint focuses on unmet performance expectations and poor service quality, such as delays and processing failures."
4929598,mortgage,EVALUATIVE,0.85,0.3,0.9,"The complaint focuses on unmet performance expectations and poor service quality, such as not receiving the deferral agreement and unauthorized payment debiting.","The consumer expresses frustration with the process and lack of resolution, indicating dissatisfaction with service delivery."
7251753,mortgage,EVALUATIVE,0.8,0.4,0.8,"The complaint focuses on unmet performance expectations, such as the failure to honor the 0% down loan promise despite meeting the credit score requirement.","The consumer expresses frustration with poor service quality and broken processes, such as the lender's lack of response and the mishandling of credit score reruns."
16466880,mortgage,EVALUATIVE,0.9,0.2,0.9,"The complaint focuses on misapplied funds, false delinquency, and incorrect charges, indicating unmet performance expectations.","The consumer requests specific corrections to payments and fees, which suggests a focus on service delivery rather than a breach of trust."
5147678,mortgage,EVALUATIVE,0.7,0.4,0.7,The complaint focuses on PHH not accepting mortgage payments and refusing a repayment plan.,"The mention of needing to keep things in order for foster children suggests some reliance, but the main issue is functional failure."
8607914,mortgage,EVALUATIVE,0.8,0.2,0.8,"The complaint focuses on the method of collections, including calls at inappropriate times and unprofessional behavior.",The language indicates frustration with poor service quality and broken processes.
5221414,mortgage,EVALUATIVE,0.8,0.3,0.8,"The complaint focuses on not receiving a current statement and incorrect processing dates, indicating unmet performance expectations.","The consumer mentions having proof of payment, suggesting frustration with the lender's processes."
1404505,mortgage,EVALUATIVE,0.8,0.4,0.8,"The complaint focuses on unmet performance expectations, such as failing to close on time and errors in paperwork.",The consumer expresses frustration and dissatisfaction with the service quality and broken promises.
2797399,mortgage,DELEGATIVE,0.8,0.8,0.4,"The complaint reflects a sense of betrayal and abandonment by the mortgage company, especially when the house was sold without the consumer's knowledge.","The consumer expresses moral outrage and a sense of personal violation, particularly in the context of the insurance money and the foreclosure process."
2958797,mortgage,UNCLASSIFIABLE,0.3,0.4,0.4,"The complaint is a mix of accusations of criminal activity, incompetence, and fraud without a clear focus on either unmet performance expectations or betrayal of trust.","The language is highly emotional and accusatory, but it does not clearly align with either evaluative or delegative trust failure."
2665682,mortgage,DELEGATIVE,0.8,0.8,0.3,"The complaint describes a betrayal of trust by the trustee, suggesting fraudulent actions and abuse of their fiduciary role.",The mention of fraudulent foreclosures and the implication of trying to steal the complainant's house indicates a sense of personal violation.
3791030,mortgage,EVALUATIVE,0.8,0.3,0.8,"The consumer is requesting evidence of mailing and clarification on loan denial, focusing on unmet performance expectations and verification failures.","The complaint emphasizes functional problems and poor service quality, such as not receiving crucial information and contradictions with established guidelines."
2974781,mortgage,EVALUATIVE,0.8,0.3,0.8,Ocwen just keeps adding onto the interest only balance there is no justification to what happens once a package is sent,Repeated submission of loan modification without proper processing indicates unmet performance expectations.
8304080,mortgage,EVALUATIVE,0.8,0.2,0.8,"The complaint focuses on unmet performance expectations, such as repeated requests for information already provided.",The language indicates frustration with a broken process and poor service quality.
2961314,mortgage,EVALUATIVE,0.85,0.3,0.8,Regions would not credit any additional payments after the first one was made.,The complaint focuses on unmet performance expectations and poor service quality regarding payment processing.
6453354,mortgage,EVALUATIVE,0.85,0.3,0.9,"The complaint focuses on incorrect charges and broken processes, such as being quoted different fees for the appraisal and the BPO.","The consumer expresses frustration with the inconsistency in fees and the process, indicating dissatisfaction with service quality."
2435204,mortgage,EVALUATIVE,0.8,0.3,0.8,The complaint focuses on the lender's failure to provide a clear payoff letter and inability to explain the details of the recapture loans.,The consumer expresses frustration with the representative's inability to provide information and the delay in processing the request.
1433973,mortgage,EVALUATIVE,0.85,0.3,0.9,"The complaint focuses on unmet performance expectations, such as 'NO sense of urgency' and 'misplace information, as an excuse.'",The mention of 'still stalling' and 'lack of concern for others' further indicates frustration with service quality.
7758346,mortgage,EVALUATIVE,0.7,0.3,0.7,The information from Xactus provided was inaccurate and I had to search for the correct information online.,The complaint focuses on incorrect information and a failure to perform as expected.
1676627,mortgage,DELEGATIVE,0.85,0.85,0.4,Adhering to the advice of Merrill Lynch's counselor has created a financial hardship for me.,"The complaint reflects a sense of betrayal and reliance on the counselor's guidance, which was not honored."
