narrative_number,complaint_id,product_type,company,date,human_classification,human_delegative_score,human_evaluative_score,human_confidence,human_justification,sonnet_classification,sonnet_confidence,sonnet_delegative_score,sonnet_evaluative_score,sonnet_primary_evidence,gpt4o_classification,gpt4o_confidence,gpt4o_delegative_score,gpt4o_evaluative_score,gpt4o_primary_evidence
38,7241493,checking_savings,JPMORGAN CHASE & CO.,2023-07-12 00:00:00,UNCLASSIFIABLE,0.0,0.0,HIGH,No standing relationship,EVALUATIVE,0.72,0.25,0.75,"The complaint focuses on the bank's process failure ('they ran my credit', 'why am I denied') and questions the functional logic of denying a deposit account based on credit score.",UNCLASSIFIABLE,0.6,0.5,0.5,The complaint mixes dissatisfaction with a service process (credit inquiry) and a sense of unfair treatment (discrimination).
39,2723943,checking_savings,WELLS FARGO & COMPANY,2017-11-09 00:00:00,UNCLASSIFIABLE,0.0,0.0,HIGH,Factual,EVALUATIVE,0.75,0.3,0.8,"The complaint focuses on unauthorized charges, fraudulent bookkeeping practices, and service problems like being charged for copies that were initially promised free.",EVALUATIVE,0.8,0.3,0.8,The complaint focuses on dissatisfaction with the bank's handling of unauthorized charges and the process of obtaining account statements.
43,1974801,mortgage,JPMORGAN CHASE & CO.,2016-06-18 00:00:00,EVALUATIVE,0.0,0.7,HIGH,"High frustration with some reference to expectations of the lender, some to external standards (federal law).",DELEGATIVE,0.85,0.85,0.35,"The complaint repeatedly frames Chase's actions as deliberate betrayal and abuse of power, using language like 'predator loan,' 'fraud,' 'XXXX me into foreclosure,' 'ignored or destroyed' documents, and expressing moral outrage at being 'subject to this XXXX fraud attempt.'",DELEGATIVE,0.85,0.9,0.4,"The complaint describes a sense of betrayal and abuse of the relationship, with language like 'Chase is XXXX me into foreclosure with this imminent threat to take my home via fraud.'"
44,15948787,credit_card,CL Holdings LLC,2025-09-15 00:00:00,UNCLASSIFIABLE,0.0,0.0,HIGH,Factual,EVALUATIVE,0.72,0.15,0.75,"The complaint focuses on incorrect reporting dates and discrepancies between expected balance and reported amount, treating these as verification failures that need correction.",UNCLASSIFIABLE,0.6,0.3,0.4,The complaint focuses on incorrect credit report information and potential fraud without clear emotional content.
45,5065894,mortgage,"Fay Servicing, LLC",2022-01-03 00:00:00,UNCLASSIFIABLE,0.0,0.0,HIGH,Factual,EVALUATIVE,0.72,0.15,0.75,"The complaint focuses on broken processes and service failures: no record of time-sensitive letter, no address provided, inability to discuss terms, unavailable supervisors.",EVALUATIVE,0.8,0.2,0.8,"The complaint focuses on unmet performance expectations, such as lack of record, no explanation, and unavailability of supervisors."
48,3122004,mortgage,WELLS FARGO & COMPANY,2019-01-11 00:00:00,UNCLASSIFIABLE,0.0,0.0,HIGH,"Concern is with lender's attorney, not the primary relationship between customer and bank",EVALUATIVE,0.72,0.25,0.75,"The complaint focuses on procedural violations and legal misconduct: 'fraudulent document which consisted of a mortgage note that was falsified,' 'dual-tracking while a loan modification was in progress,' and improper service of papers.",UNCLASSIFIABLE,0.4,0.3,0.3,The complaint focuses on legal violations by an attorney rather than a direct financial institution relationship.
49,1923767,checking_savings,"SUNTRUST BANKS, INC.",2016-05-13 00:00:00,DELEGATIVE,0.2,0.1,LOW,"Difficult to classify, ""passive attitude towards my plight"" suggests a duty that is more than transactional/performance-based",EVALUATIVE,0.72,0.35,0.75,The consumer focuses on the bank's failure to act ('the bank said there was nothing they could do') and describes them as 'taking a passive attitude towards my plight' - framing this as inadequate service response to fraud.,DELEGATIVE,0.8,0.8,0.4,"The consumer expresses a sense of betrayal and abandonment, stating 'the Bank is taking a passive attitude towards my plight' and 'the Bank doesn't care.'"
50,3276212,mortgage,"LoanCare, LLC",2019-06-15 00:00:00,UNCLASSIFIABLE,0.0,0.0,,Not a pre-existing relationship between customer and loan servicer,EVALUATIVE,0.85,0.15,0.85,"The complaint focuses on functional problems with the transfer process: automated system not recognizing loan information, inability to register online, excessive hold times, and the inconvenience of changing payment methods.",EVALUATIVE,0.85,0.3,0.8,"The complaint focuses on unmet performance expectations, such as the automated system not recognizing the loan number or SSN and the inconvenience caused by the transfer."
51,5233520,mortgage,RUSHMORE LOAN MANAGEMENT SERVICES LLC,2022-02-17 00:00:00,UNCLASSIFIABLE,0.1,0.1,LOW,"Hard to classify, ""fiduciary"" but not necessarily used in delegative sense, frustration but not clear at what/whom",DELEGATIVE,0.72,0.75,0.35,The consumer explicitly references 'MY FIDUCIARY RELATIONSHIP WITH THE BANK' and frames the refusal to accept partial payment as abandonment 'DESPITE MY EFFORT' to 'SAVE AND KEEP MY PROPERTY FOR ME AND MY FAMILY.',DELEGATIVE,0.85,0.85,0.4,The complaint mentions a 'fiduciary relationship with the bank' and a sense of betrayal as the bank refused to accept a partial payment to save the property.
52,7487805,mortgage,"BANK OF AMERICA, NATIONAL ASSOCIATION",2023-09-01 00:00:00,UNCLASSIFIABLE,0.0,0.0,HIGH,"Mostly factual and language about ""illegal"" refers to external authority, not trust of any kind",EVALUATIVE,0.75,0.25,0.75,The complaint focuses on incorrect charges and calculation errors: 'Why is Bank of America secretly taking out $95.00 per month on a closed escrow account' and questioning whether 'they're calculating the principle and interest correctly.',EVALUATIVE,0.85,0.2,0.9,"The complaint focuses on incorrect charges and verification failures, specifically the unexpected $95.00 charge for escrow."
54,9163186,checking_savings,JPMORGAN CHASE & CO.,2024-06-03 00:00:00,EVALUATIVE,0.0,0.2,MEDIUM,Pre-existing relationship but seemingly on evaluative/performance based grounds. Expectations frustrated but no trust language,DELEGATIVE,0.82,0.82,0.25,"The consumer emphasizes the vulnerability of their position ('only bank account,' 'only funds available,' 'no other funds to sustain myself') and describes trying to 'reason with them' after an abrupt relationship termination without explanation.",DELEGATIVE,0.85,0.85,0.3,"The consumer expresses a sense of betrayal and abandonment by stating that Chase decided to end the relationship without explanation, leaving them without access to their only funds."
55,7493712,mortgage,Mr. Cooper Group Inc.,2023-09-04 00:00:00,DELEGATIVE,0.2,0.0,LOW,"Language about being ""pushed around"", suggests a duty that is more than transactional",DELEGATIVE,0.75,0.75,0.45,"The consumer states 'I feel like I am been pushed around' and emphasizes being a senior citizen who is 'not tech savy' and had to add their son to help, suggesting vulnerability and a sense of being taken advantage of in a relationship where they relied on the institution.",EVALUATIVE,0.8,0.4,0.8,"Numerous phone calls, faxes, and emails with no one knowing what is going on, and escrow and insurance added without consent."
57,1781283,mortgage,Ocwen Financial Corporation,2016-02-10 00:00:00,UNCLASSIFIABLE,0.0,0.0,MEDIUM,"Almost entirely factual, unclear what the relationship is",EVALUATIVE,0.82,0.25,0.85,"The complaint focuses on repeated document requests, expired applications without resolution, and a representative who 'refused' to transfer to a supervisor and 'didn't have time'—all framing this as service delivery failures and process breakdowns.",EVALUATIVE,0.8,0.3,0.8,OCWEN has requested several documents and I 've sent them within days back to them. I 've submitted the same documents over and over again.
58,18961474,checking_savings,WELLS FARGO & COMPANY,2026-01-23 00:00:00,UNCLASSIFIABLE,0.0,0.0,,"Factual, unclear relationship",EVALUATIVE,0.72,0.25,0.75,"The complaint focuses on procedural failures: inability to access account to print documentation, lack of follow-up communication on fraud activity, and being locked out while needing to provide required documents.",EVALUATIVE,0.7,0.3,0.7,"They said, they will follow up with to whats going on with the fraud activity but they never did."
59,1413110,checking_savings,WELLS FARGO & COMPANY,2015-06-09 00:00:00,UNCLASSIFIABLE,0.1,0.1,LOW,"Some transactional relationship language, some suggestions of moral betrayal, but little relationship language overall",EVALUATIVE,0.75,0.3,0.8,"The complaint focuses on repeated service failures: incorrect low balance charges despite meeting requirements, failure to process account closure properly, failure to transfer funds as instructed, and bureaucratic obstacles to receiving their money.",EVALUATIVE,0.8,0.4,0.8,"The complaint focuses on unmet performance expectations, such as incorrect charges for low balances and failure to close the account and return the funds as instructed."
60,14376219,credit_card,SYNCHRONY FINANCIAL,2025-06-30 00:00:00,UNCLASSIFIABLE,0.0,0.0,HIGH,Factual,EVALUATIVE,0.92,0.15,0.92,"The complaint focuses on an incorrect balance transfer not being credited despite multiple calls and promises, with frustration about transfers, wait times, and failure to resolve a specific billing error.",EVALUATIVE,0.9,0.2,0.9,The complaint focuses on an incorrect balance transfer and the failure to credit the account as promised.
62,4901463,credit_card,DISCOVER BANK,2021-11-11 00:00:00,UNCLASSIFIABLE,0.0,0.0,HIGH,No pre-existing relationship,EVALUATIVE,0.72,0.15,0.75,"The complaint focuses on being denied credit despite being told they had 'an excellent chance' and having paid all debts, framing this as an inappropriate denial that affected their credit score.",EVALUATIVE,0.8,0.2,0.8,Discover denied me a line of credit inappropriately.
63,15605118,checking_savings,"Block, Inc.",2025-08-29 00:00:00,UNCLASSIFIABLE,0.0,0.0,HIGH,Boilerplate copied from a bank or credit card issuer,UNCLASSIFIABLE,0.95,0.0,0.0,"This text appears to be a response FROM a financial institution TO a consumer, not a consumer complaint.",EVALUATIVE,0.8,0.2,0.8,The complaint focuses on the frustration with the transaction being declined despite it being a common transaction.
67,3197294,checking_savings,"BANK OF AMERICA, NATIONAL ASSOCIATION",2019-04-01 00:00:00,UNCLASSIFIABLE,0.0,0.0,MEDIUM,"No language of frustration, betrayal, or other reactive attitudes -- whether transactional or delegative.",EVALUATIVE,0.82,0.15,0.85,"The complaint focuses on a functional failure: the bank told the consumer the transaction was declined, but the money was withdrawn anyway, and then the bank reversed its correction without explanation.",EVALUATIVE,0.8,0.2,0.8,"The complaint focuses on incorrect charges and poor service quality, as the consumer was told the transaction was declined but the money was withdrawn anyway."
68,5903373,credit_card,BARCLAYS BANK DELAWARE,2022-08-23 00:00:00,UNCLASSIFIABLE,0.0,0.0,MEDIUM,"Frustration is primarily with CFPB and legal recourse, not much information about the relationship with the financial institution",EVALUATIVE,0.75,0.3,0.8,"The complaint focuses on procedural failures: agents providing incorrect information about refund timing, opening unauthorized fraud reports, supervisors denying promises and hanging up, and failure to return calls.",EVALUATIVE,0.8,0.4,0.8,"The complaint focuses on incorrect handling of a refund and poor service quality, such as the agent filing a fraud report without permission and the supervisor denying previous agreements."
69,7163084,checking_savings,"BANK OF AMERICA, NATIONAL ASSOCIATION",2023-06-24 00:00:00,EVALUATIVE,0.0,0.5,MEDIUM,"Frustration with transactional processes, clearly burned by banks before. Unlikely to extend delegative trust.",DELEGATIVE,0.72,0.75,0.35,"The complaint centers on identity violation ('my right to know about anything with my identity attached to it is Violated') and being given 'misleading information to keep me from knowing,' suggesting betrayal of trust rather than mere service failure.",UNCLASSIFIABLE,0.4,0.5,0.5,"The complaint mixes issues of fraud, account closure, and lack of information without a clear focus on either unmet performance expectations or betrayal of trust."
70,5922211,credit_card,BARCLAYS BANK DELAWARE,2022-08-28 00:00:00,UNCLASSIFIABLE,0.0,0.0,,"Largely factual, no relationship language",EVALUATIVE,0.72,0.15,0.75,"The complaint focuses on being charged again without explanation after a previous resolution, treating this as a functional failure requiring correction.",EVALUATIVE,0.8,0.3,0.8,The company did resolve the issue but then turned around and charged me again without an explanation.
72,8239915,checking_savings,JPMORGAN CHASE & CO.,2024-01-28 00:00:00,EVALUATIVE,0.0,0.2,LOW,Minor relationship language that is entirely transactional,EVALUATIVE,0.82,0.25,0.85,"The complaint focuses on Chase's failure to properly investigate and verify the fraud claim despite clear evidence, with language centered on 'lack of evidence,' 'claim was not found to be in my favor,' and frustration that they 'overlooked this evidence I provided.'",UNCLASSIFIABLE,0.6,0.5,0.5,The complaint is primarily about a factual dispute over unauthorized transactions and the bank's decision not to honor the claim.
73,11673824,checking_savings,CAPITAL ONE FINANCIAL CORPORATION,2025-01-17 00:00:00,UNCLASSIFIABLE,0.0,0.0,HIGH,"No relationship, general concern with banking",EVALUATIVE,0.65,0.15,0.7,The complaint focuses on a functional problem—inability to open a new account due to a past account status—framing this as a service barrier preventing them from achieving a practical goal (getting paid).,UNCLASSIFIABLE,0.6,0.2,0.3,The complaint lacks emotional content and specific language indicating either evaluative or delegative trust failure.
75,2263674,credit_card,"CITIBANK, N.A.",2016-12-25 00:00:00,UNCLASSIFIABLE,0.0,0.0,HIGH,Fraud situation,EVALUATIVE,0.72,0.35,0.75,"The complaint focuses on a bank employee who 'never did anything about it,' 'dropped contact,' and 'just disappeared' after requesting information—describing failures to perform promised fraud resolution services.",DELEGATIVE,0.8,0.8,0.4,The complaint reflects a sense of abandonment and broken loyalty as the bank representative 'never did anything about it and she dropped contact.'
76,11619867,checking_savings,"Block, Inc.",2025-01-20 00:00:00,UNCLASSIFIABLE,0.0,0.0,HIGH,No relationship language,EVALUATIVE,0.72,0.15,0.75,The complaint focuses on a functional failure: funds were not recovered after a disputed transaction and were given to an unauthorized merchant.,EVALUATIVE,0.7,0.3,0.7,My funds was never recovered and was giving to a merchant I didnt use or approve.
77,15922607,credit_card,"BANK OF AMERICA, NATIONAL ASSOCIATION",2025-09-14 00:00:00,EVALUATIVE,0.0,0.3,MEDIUM,"Performance expectations not met, no delegative trust language",DELEGATIVE,0.82,0.82,0.35,"The consumer repeatedly trusted Bank of America representatives' assurances ('assured me,' 'he swore') to fix the problem, only to be betrayed when the charges continued, culminating in 'They are simply refusing to stop these charges' and abandoning the relationship entirely.",EVALUATIVE,0.85,0.3,0.9,The complaint focuses on incorrect charges and the failure of Bank of America to stop these charges despite assurances.
79,2266282,credit_card,AMERICAN EXPRESS COMPANY,2016-12-28 00:00:00,UNCLASSIFIABLE,0.0,0.0,HIGH,No pre-existing relationship,EVALUATIVE,0.72,0.25,0.75,"The complaint focuses on unmet expectations based on objective qualifications (credit score, income, payment history) with the stance 'I met all the criteria, so you should have approved me.'",UNCLASSIFIABLE,0.6,0.5,0.5,The complaint alleges discrimination but does not provide clear evidence of either evaluative or delegative trust failure.
81,7006718,checking_savings,WELLS FARGO & COMPANY,2023-05-21 00:00:00,EVALUATIVE,0.0,0.2,LOW,"Problem is largely transactional, but implied duty for Wells Fargo that goes beyond transactional trust",DELEGATIVE,0.72,0.75,0.45,"The complaint alleges racial bias and discrimination ('seems as if I am being racially and biased against'), suggesting betrayal of a relationship where the consumer expected fair treatment as a long-term customer and veteran.",UNCLASSIFIABLE,0.6,0.5,0.5,The complaint mixes issues of overdraft fees and loan denials with an accusation of racial bias.
84,6761328,mortgage,WELLS FARGO & COMPANY,2023-03-29 00:00:00,EVALUATIVE,0.0,0.3,MEDIUM,"Concerns seem to be transactional, no extension of delegative trust to lender",EVALUATIVE,0.72,0.35,0.75,"The complaint focuses on repeated denials of loan modifications, inability to reach the right person, and failure to stop foreclosure despite submitting required documentation.",UNCLASSIFIABLE,0.6,0.6,0.6,The complaint mixes frustration with unmet performance expectations (denied loan modifications) and a sense of abandonment (attorney not stopping foreclosure).
91,9550592,credit_card,DISCOVER BANK,2024-07-19 00:00:00,EVALUATIVE,0.0,0.2,LOW,"Seems to be transactional concerns, unclear how much evaluative trust was even extended",EVALUATIVE,0.72,0.35,0.75,"The complaint focuses on the institution's refusal to accept an affordable $50/month payment plan and enforcement actions (lien, levy) that the consumer finds unreasonable given their financial circumstances.",UNCLASSIFIABLE,0.6,0.5,0.5,The complaint mixes elements of both evaluative and delegative trust failures without a dominant mode.
92,16720212,credit_card,BARCLAYS BANK DELAWARE,2025-10-21 00:00:00,EVALUATIVE,0.0,0.6,HIGH,"Significant frustration at performance expectations not being met, especially the reliability of existing credit available (""I relied on those assurances"").",DELEGATIVE,0.78,0.78,0.45,"The consumer states 'I relied on those assurances when planning an upcoming trip' and describes the situation as 'predatory and unfair,' expressing betrayal after making a 'good-faith payment' that was followed by misleading guarantees.",EVALUATIVE,0.8,0.4,0.8,"The complaint focuses on unmet performance expectations and poor service quality, such as the failure to update available credit as promised."
96,5745591,checking_savings,TRUIST FINANCIAL CORPORATION,2022-07-07 00:00:00,UNCLASSIFIABLE,0.0,0.0,HIGH,Factual,EVALUATIVE,0.72,0.2,0.75,The complaint focuses on a broken process ('haven't been able to register for online access') and unmet promises ('it was supposed to be taken care of') with frustration at poor service ('no help or long holds').,EVALUATIVE,0.7,0.3,0.7,The complaint focuses on unmet performance expectations regarding online access and poor service quality with no help or long holds.
97,2792843,credit_card,Netspend Corporation,2018-01-24 00:00:00,UNCLASSIFIABLE,0.0,0.0,HIGH,No relationship,EVALUATIVE,0.85,0.1,0.85,The complaint focuses on a failed refund process with repeated contacts and the functional problem that 'they seem to be holding my money' after a straightforward purchase mistake.,EVALUATIVE,0.8,0.2,0.8,The complaint focuses on unmet performance expectations regarding the refund process.
99,2400974,credit_card,JPMORGAN CHASE & CO.,2017-03-23 00:00:00,UNCLASSIFIABLE,0.0,0.0,HIGH,"No pre-existing relationship, customer dealing with late mother's account",EVALUATIVE,0.72,0.15,0.75,The complaint focuses on Chase's failure to provide information or guidance on procedures: 'they state they can not discuss anything with me' and 'the card company will not provide any information as to how to proceed.',UNCLASSIFIABLE,0.6,0.3,0.4,"The complaint describes difficulty in obtaining information due to privacy restrictions, without clear emotional content or trust language."
